OrderID,CustomerID,OrderDate,ShipDate,ShipMode,Country,Region,City,Segment,Category,Sub-Category,Sales,Quantity,Discount,Profit
1,188,2023-10-22,2023-12-18,Same Day,India,North,Delhi,Home Office,Furniture,Binders,4206.88,9,0.02,872.2
2,7,2023-08-06,2023-10-17,Standard Class,India,East,Delhi,Home Office,Furniture,Chairs,4510.66,1,0.01,634.69
3,394,2023-04-13,2023-08-20,First Class,India,South,Pune,Home Office,Technology,Tables,2428.79,7,0.44,72.88
4,115,2023-04-04,2023-04-24,First Class,India,West,Chennai,Corporate,Technology,Tables,2485.67,7,0.19,222.15
5,208,2023-09-30,2023-11-26,Same Day,India,North,Mumbai,Corporate,Furniture,Phones,3113.7,3,0.19,375.88
6,259,2023-09-12,2023-09-28,Same Day,India,North,Pune,Corporate,Office Supplies,Tables,704.66,3,0.29,549.27
7,151,2023-10-27,2023-11-01,First Class,India,South,Pune,Home Office,Technology,Chairs,2705.69,4,0.47,174.32
8,199,2023-05-13,2023-09-29,Second Class,India,North,Chennai,Corporate,Furniture,Phones,526.89,9,0.28,750.08
9,183,2023-07-22,2023-12-31,Standard Class,India,West,Chennai,Corporate,Technology,Chairs,619.49,10,0.25,-9.69
10,150,2023-02-17,2023-09-16,Standard Class,India,East,Pune,Consumer,Technology,Phones,2670.58,8,0.34,72.99
11,163,2023-05-18,2023-11-30,First Class,India,North,Kolkata,Home Office,Office Supplies,Binders,646.46,4,0.48,-90.3
12,363,2023-05-03,2023-08-25,Standard Class,India,West,Delhi,Consumer,Office Supplies,Chairs,571.63,3,0.27,647.37
13,297,2023-01-11,2023-06-13,Same Day,India,North,Kolkata,Home Office,Furniture,Accessories,4454.17,2,0.05,-67.91
14,406,2023-08-26,2023-11-06,Second Class,India,West,Mumbai,Consumer,Technology,Chairs,64.88,10,0.2,261.4
15,55,2023-01-14,2023-05-30,First Class,India,South,Kolkata,Home Office,Office Supplies,Accessories,2844.98,6,0.4,691.38
16,454,2023-01-20,2023-10-04,Second Class,India,South,Bengaluru,Home Office,Furniture,Chairs,1678.1,4,0.34,222.39
17,98,2023-08-31,2023-10-27,First Class,India,North,Delhi,Home Office,Technology,Tables,3359.32,8,0.49,154.36
18,241,2023-08-23,2023-11-25,Second Class,India,South,Chennai,Home Office,Technology,Tables,253.38,1,0.29,102.45
19,65,2023-08-09,2023-11-17,Standard Class,India,South,Hyderabad,Consumer,Technology,Accessories,1473.91,6,0.09,337.14
20,299,2023-08-07,2023-11-09,Second Class,India,North,Delhi,Consumer,Technology,Binders,1858.1,5,0.41,1.87
21,342,2023-06-24,2023-12-06,First Class,India,South,Bengaluru,Home Office,Office Supplies,Phones,3253.83,1,0.01,964.06
22,51,2023-02-08,2023-10-26,Second Class,India,North,Bengaluru,Home Office,Technology,Binders,186.64,8,0.47,129.09
23,69,2023-06-10,2023-12-31,First Class,India,South,Delhi,Corporate,Office Supplies,Chairs,1492.89,1,0.38,908.79
24,291,2023-01-01,2023-05-07,Standard Class,India,West,Kolkata,Consumer,Technology,Chairs,2093.06,7,0.36,37.36
25,196,2023-02-24,2023-03-29,First Class,India,West,Delhi,Consumer,Furniture,Chairs,1901.58,2,0.11,497.97
26,179,2023-12-21,2024-01-06,Standard Class,India,South,Pune,Consumer,Technology,Tables,4181.41,6,0.26,326.65
27,383,2023-09-23,2023-12-24,First Class,India,East,Kolkata,Consumer,Furniture,Binders,1779.95,8,0.43,421.6
28,238,2023-11-28,2023-12-24,First Class,India,West,Delhi,Consumer,Technology,Tables,3798.72,5,0.27,792.11
29,293,2023-01-09,2023-03-29,Same Day,India,North,Kolkata,Home Office,Office Supplies,Tables,532.34,9,0.32,353.59
30,362,2023-04-23,2023-10-03,Standard Class,India,South,Delhi,Corporate,Office Supplies,Binders,1188.8,8,0.15,894.33
31,251,2023-05-04,2023-09-29,First Class,India,North,Delhi,Home Office,Office Supplies,Chairs,1269.42,7,0.21,-69.53
32,69,2023-04-10,2023-07-13,Standard Class,India,West,Kolkata,Home Office,Office Supplies,Chairs,3452.69,6,0.09,947.65
33,489,2023-04-27,2023-10-11,First Class,India,East,Chennai,Home Office,Furniture,Chairs,4230.74,8,0.17,-56.75
34,90,2023-09-16,2023-10-07,First Class,India,West,Delhi,Home Office,Technology,Tables,824.89,4,0.17,685.85
35,364,2023-12-17,2024-01-08,First Class,India,West,Pune,Home Office,Office Supplies,Tables,1489.79,10,0.4,187.2
36,272,2023-06-16,2023-09-02,Same Day,India,East,Chennai,Corporate,Technology,Accessories,2398.73,5,0.01,604.34
37,444,2023-06-09,2023-07-14,Second Class,India,South,Chennai,Home Office,Technology,Phones,220.34,9,0.28,-55.4
38,453,2023-02-28,2023-10-14,Second Class,India,South,Kolkata,Corporate,Office Supplies,Phones,1387.71,5,0.32,852.47
39,166,2023-03-04,2023-12-11,Second Class,India,North,Mumbai,Corporate,Furniture,Accessories,705.32,10,0.26,672.13
40,255,2023-08-08,2023-10-15,First Class,India,East,Chennai,Home Office,Technology,Accessories,3991.43,6,0.38,-86.44
41,261,2023-06-02,2023-07-12,Second Class,India,East,Chennai,Corporate,Office Supplies,Tables,4686.21,10,0.2,995.28
42,38,2023-10-29,2023-11-03,Same Day,India,West,Kolkata,Consumer,Technology,Accessories,140.94,2,0.08,824.14
43,422,2023-12-08,2023-12-22,Same Day,India,South,Mumbai,Home Office,Furniture,Tables,192.11,4,0.45,142.72
44,87,2023-11-03,2023-12-04,Standard Class,India,North,Pune,Corporate,Furniture,Chairs,637.6,8,0.05,53.82
45,212,2023-05-17,2023-10-10,Second Class,India,North,Kolkata,Home Office,Furniture,Accessories,3143.13,3,0.43,449.43
46,194,2023-11-27,2023-11-29,Standard Class,India,East,Kolkata,Corporate,Technology,Tables,4853.76,7,0.01,770.47
47,225,2023-06-17,2023-08-13,Second Class,India,East,Kolkata,Corporate,Office Supplies,Phones,3082.82,4,0.27,-93.23
48,161,2023-08-31,2023-09-05,Same Day,India,South,Delhi,Home Office,Office Supplies,Accessories,2651.63,6,0.46,197.61
49,140,2023-10-30,2023-12-01,First Class,India,East,Chennai,Consumer,Technology,Chairs,308.89,7,0.13,10.88
50,424,2023-05-12,2023-11-29,First Class,India,North,Delhi,Home Office,Office Supplies,Phones,1358.17,9,0.06,3.71
51,379,2023-04-06,2023-05-27,Standard Class,India,West,Chennai,Home Office,Office Supplies,Tables,3757.69,2,0.36,954.24
52,17,2023-07-09,2023-09-06,Standard Class,India,South,Delhi,Corporate,Furniture,Tables,3572.62,5,0.03,62.24
53,497,2023-07-23,2023-11-28,First Class,India,West,Bengaluru,Corporate,Office Supplies,Chairs,4647.03,5,0.35,103.45
54,203,2023-01-13,2023-01-18,Standard Class,India,North,Delhi,Home Office,Furniture,Accessories,1999.62,6,0.02,517.87
55,230,2023-04-15,2023-10-16,First Class,India,West,Bengaluru,Home Office,Technology,Tables,1776.58,9,0.1,755.43
56,413,2023-03-28,2023-07-08,Standard Class,India,South,Delhi,Home Office,Furniture,Accessories,4968.25,1,0.16,586.11
57,269,2023-10-26,2023-11-04,Second Class,India,West,Kolkata,Corporate,Technology,Phones,328.73,5,0.15,335.62
58,226,2023-08-12,2023-10-12,Same Day,India,North,Chennai,Consumer,Technology,Binders,1229.34,9,0.1,657.57
